game_id,season,week,opponent,day_of_week,tickets_sold,capacity,avg_ticket_price,sponsorship_revenue,digital_impressions,occupancy_rate,total_ticket_revenue,revenue_per_impression
1,2021,1,Chiefs,Sunday,63734,72220,224.2,349160.16,1497421,0.882,14289162.8,0.2332
2,2021,2,Ravens,Thursday,57267,72220,273.3,259381.84,3312422,0.793,15651071.1,0.0783
3,2021,3,Cowboys,Monday,71167,72220,128.14,504040.89,2294490,0.985,9119339.38,0.2197
4,2021,4,Eagles,Sunday,57528,72220,176.03,486928.91,1767752,0.797,10126653.84,0.2755
5,2021,5,Bills,Sunday,67394,72220,130.09,426092.9,2916121,0.933,8767285.46,0.1461
6,2021,6,Bengals,Sunday,59556,72220,256.18,258447.89,722409,0.825,15257056.08,0.3578
7,2021,7,Chargers,Sunday,59890,72220,183.53,369305.44,2616716,0.829,10991611.7,0.1411
8,2021,8,Steelers,Monday,64838,72220,135.75,676805.17,2950770,0.898,8801758.5,0.2294
9,2021,9,Patriots,Sunday,70356,72220,214.89,724105.32,1369598,0.974,15118800.84,0.5287
10,2022,1,Cowboys,Monday,67080,72220,96.89,613575.98,1698591,0.929,6499381.2,0.3612
11,2022,2,Bills,Sunday,70502,72220,275.3,805780.53,3469990,0.976,19409200.6,0.2322
12,2022,3,Chiefs,Thursday,61393,72220,188.95,640646.22,1474371,0.85,11600207.35,0.4345
13,2022,4,Dolphins,Monday,66627,72220,176.93,798975.81,2059933,0.923,11788315.11,0.3879
14,2022,5,Broncos,Sunday,64792,72220,293.86,760023.15,3432868,0.897,19039777.12,0.2214
15,2022,6,Raiders,Sunday,66555,72220,250.0,519670.4,1754454,0.922,16638750.0,0.2962
16,2022,7,Ravens,Sunday,66253,72220,161.84,307246.07,1573548,0.917,10722385.52,0.1953
17,2022,8,Titans,Sunday,64433,72220,215.5,472490.95,3470442,0.892,13885311.5,0.1361
18,2022,9,Colts,Sunday,66233,72220,204.58,651304.75,1813475,0.917,13549947.14,0.3591
19,2023,1,Eagles,Sunday,67016,72220,301.46,649553.41,2621900,0.928,20202643.36,0.2477
20,2023,2,Chiefs,Sunday,63513,72220,275.8,604778.67,1599238,0.879,17516885.4,0.3782
21,2023,3,Bengals,Sunday,58612,72220,254.41,414833.08,2528434,0.812,14911478.92,0.1641
22,2023,4,Cowboys,Sunday,63041,72220,208.73,586746.06,979989,0.873,13158547.93,0.5987
23,2023,5,Jaguars,Sunday,65555,72220,219.09,479756.12,3112667,0.908,14362444.95,0.1541
24,2023,6,Titans,Sunday,62235,72220,302.36,833027.26,643585,0.862,18817374.6,1.2944
25,2023,7,Colts,Sunday,61486,72220,223.55,759348.29,2019945,0.851,13745195.3,0.3759
26,2023,8,Patriots,Monday,63099,72220,150.72,683037.71,2761196,0.874,9510281.28,0.2474
27,2023,9,Steelers,Sunday,65670,72220,155.18,391590.95,3139448,0.909,10190670.6,0.1247
